Geoname ID;Name;ASCII Name;Alternate Names;Latitude;Longitude;Feature Class;Feature Code;Country Code;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;Country;Coordinates
699100;Novotroyits’ke;Novotroyits'ke;Novotroic'ke,Novotroickoe,Novotroitskoye,Novotroyits'ke,Novotroyits’ke,Новотроицкое,Новотроїцьке;46.3556;34.33272;P;PPLA2;UA;;08;;;;0;;18;Europe/Kiev;2015-02-06;Ukraine;46.3556, 34.33272
699933;Nyzy;Nyzy;Nizi,Nizy,Nyzy,Низи,Низы;50.78281;34.78441;P;PPL;UA;;21;;;;2819;;126;Europe/Kiev;2014-06-27;Ukraine;50.78281, 34.78441
700606;Murovani Kurylivtsi;Murovani Kurylivtsi;Murovani Kurilivci,Murovani Kurylivtsi,Murovano-Kurilovtsy,Murovany-Kurilovtsy,Murovanye Kurilovtsy,Murovanyye Kurilovtsy,Муровані Курилівці;48.72348;27.51892;P;PPLA2;UA;;23;;;;5994;;172;Europe/Kiev;2014-10-01;Ukraine;48.72348, 27.51892
700750;Morskoye;Morskoye;Kapsikhor,Mors'ke,Morskoe,Морское,Морське;44.82593;34.80314;P;PPL;UA;UA;11;;;;2245;;30;Europe/Simferopol;2012-12-01;Ukraine;44.82593, 34.80314
701619;Masandra;Masandra;Masandra,Massandra,Масандра,Массандра;44.50958;34.18817;P;PPL;UA;;11;;;;6966;;216;Europe/Simferopol;2015-07-23;Ukraine;44.50958, 34.18817
703144;Lisovi Sorochyntsi;Lisovi Sorochyntsi;Lesovy,Lesovy Sorochintsy,Lesovye Sorochincy,Lesovyye Sorochintsy,Lisovi Sorochinci,Lisovi Sorochyntsi,Pesovy,Sorochincy,Velikie Sorochincy,Великие Сорочинцы,Лесовые Сорочинцы,Лісові Сорочинці,Сорочинцы;50.6892;32.32919;P;PPL;UA;;02;;;;4050;;147;Europe/Kiev;2013-05-08;Ukraine;50.6892, 32.32919
703903;Kruty;Kruty;Kruty,Круты;51.05974;32.10634;P;PPL;UA;;02;;;;1330;;126;Europe/Kiev;2010-07-21;Ukraine;51.05974, 32.10634
704881;Korotych;Korotych;Korotich,Korotych,Коротич,Коротыч;49.94737;36.03736;P;PPL;UA;;07;;;;4889;;138;Europe/Kiev;2014-06-26;Ukraine;49.94737, 36.03736
704949;Kornyn;Kornyn;Kornin,Kornyn,Корнин;50.0953;29.53581;P;PPL;UA;;27;;;;2605;;198;Europe/Kiev;2012-01-18;Ukraine;50.0953, 29.53581
705660;Klevan’;Klevan';Klevan',Klevan’,Klewan,Klewań,Клевань;50.74305;25.97628;P;PPL;UA;;19;;;;1458;;202;Europe/Kiev;2013-02-16;Ukraine;50.74305, 25.97628
705730;Kivertsi;Kivertsi;Kiverci,Kivertse,Kivertsi,Kivertsy,Kiwerce,Ківерці;50.83425;25.45821;P;PPLA2;UA;;24;;;;16509;;199;Europe/Kiev;2014-08-06;Ukraine;50.83425, 25.45821
706232;Khotiv;Khotiv;Khotiv,Khotov,Хотов,Хотів;50.33069;30.46836;P;PPL;UA;;13;;;;4569;;128;Europe/Kiev;2014-01-12;Ukraine;50.33069, 30.46836
707688;Illichivs’k;Illichivs'k;Il'ichevka,Il'ichevsk,Illichivs'k,Illichivs’k,Ilyitschovsk,Il’ichevka,Il’ichevsk,Il’ichëvsk,Іллічівськ,Ильичевск;46.30495;30.65478;P;PPL;UA;;17;;;;54102;;26;Europe/Kiev;2015-02-06;Ukraine;46.30495, 30.65478
708320;Horodnya;Horodnya;Gorodnja,Gorodnya,Horodnya,Городня;51.89085;31.59741;P;PPLA2;UA;;02;;;;13601;;137;Europe/Kiev;2014-11-05;Ukraine;51.89085, 31.59741
709493;Dubrovytsya;Dubrovytsya;Dabrowica,Dombrovitsa,Dubrovicja,Dubrovitsa,Dubrovytsya,Dąbrowica,Дубровиця;51.57438;26.56503;P;PPLA2;UA;;19;;;;9285;;153;Europe/Kiev;2014-08-06;Ukraine;51.57438, 26.56503
709540;Dubno;Dubno;Doubno,Dubnas,Dubno,du bu nuo,dwbnw,Дубно,דובנו,دوبنو,杜布諾;50.41694;25.73432;P;PPLA2;UA;;19;;;;37690;;199;Europe/Kiev;2014-08-06;Ukraine;50.41694, 25.73432
710718;Cherniyiv;Cherniyiv;Cerniiv,Cherneyev,Cherneyuv,Cherniyev,Cherniyiv,Czerniejow,Czerniejów,Черніїв;48.85658;24.71388;P;PPL;UA;;06;;;;3801;;272;Europe/Kiev;2012-01-18;Ukraine;48.85658, 24.71388
710739;Chernihivka;Chernihivka;Chernigivka,Chernigovka,Chernihivka,Tschernigowka,Черниговка,Чернігівка;47.19992;36.16148;P;PPLA2;UA;;26;;;;0;;105;Europe/Zaporozhye;2014-06-27;Ukraine;47.19992, 36.16148
710741;Chernivtsi;Chernivtsi;Chernevtsy,Chernivci,Chernivtsi,Chernovcy,Черновцы,Чернівці;48.54225;28.11473;P;PPLA2;UA;;23;;;;3065;;196;Europe/Kiev;2014-10-01;Ukraine;48.54225, 28.11473
710981;Bytkiv;Bytkiv;Bitkiv,Bitkov,Bitkuv,Bytkiv,Bytkov,Битків;48.62968;24.47398;P;PPL;UA;;06;;;;4112;;516;Europe/Kiev;2012-01-18;Ukraine;48.62968, 24.47398
711024;Bykivka;Bykivka;Bikivka,Bykivka,Bykovka,Биківка;50.29285;27.98314;P;PPL;UA;;27;;;;1911;;250;Europe/Kiev;2013-02-08;Ukraine;50.29285, 27.98314
